InputSize,Time
68,0.3647475470810161
181,0.9241348261927049
202,1.0603115637774838
224,1.2115198145257742
293,1.7069269858535046
385,2.1232484904710147
459,2.445809092301936
466,2.422875157182891
490,2.5448854224478885
515,2.958306025409974
560,2.9582136040226894
564,2.913659958763095
673,3.5461427343352465
682,3.7239849622659684
724,3.980620301886027
778,4.087163758338799
782,3.980373262634745
827,4.409277960502392
960,5.247007383480184
1045,6.162488381418123
1112,5.705036949379437
1175,6.236847602841728
1288,7.546935012513756
1293,6.582652061236409
1333,7.833974865441324
1399,7.0574978617231405
1436,8.469071882057454
1436,7.450650310558266
1439,7.537282339603159
1505,8.405506567978176
1588,8.914084702010111
1660,8.781048207217697
1674,10.573393487598626
1701,9.445196893894394
1704,9.233688029926256
1759,8.95696773230635
1823,9.789809385970896
1906,10.13435045111275
1997,11.350553078898345
2009,10.979210814514515
2053,10.912609422389714
2054,11.084591070564084
2062,11.00329042936482
2067,10.491368065838728
2084,10.96299042940189
2142,12.216447690983388
2164,11.450768768117705
2284,12.196551384177898
2320,11.832160913108156
2371,13.813747358707868
2379,12.278720624863555
2441,13.053773862537406
2539,13.262453657947042
2638,15.911375831103282
2684,14.124840115827901
2685,14.84618657945334
2766,15.439962182344692
2807,14.728217825294234
2874,15.085112894469058
2886,15.90327383120375
3006,16.174274272170948
3133,19.57226722282625
3157,18.893347251661883
3192,16.671427932948077
3209,17.534248412032646
3253,16.704123934356296
3571,18.137121489756975
3605,22.0010515084647
3618,19.544313719190274
3660,21.561390082145543
3824,19.662746411611497
3901,19.753875427804644
3904,19.737922284490278
3958,20.505683687074423
3962,21.40034426647908
3977,20.28742540087673
3989,21.333920354965166
4042,22.63500894986985
4157,24.07027925904447
4236,24.337922489687053
4348,23.275917697623978
4380,22.03802665063978
4406,22.583935294943874
4424,22.47843101813617
4490,24.511715846012272
4494,24.04739429122997
4636,24.29074437076856
4647,24.143747479815772
4668,24.645355527041946
4687,23.92169430636988
4728,25.08769762876299
4769,25.48852389050108
4769,25.057904899873577
4791,28.548493412188485
4803,26.000829943992574
4824,25.77252821234095
4833,25.691963037358754
4854,24.513375944100428
4913,25.22125416148327
4953,29.928506684170806
