InputSize,Time
6,0.005575209099066836
6,0.005399267633604824
26,0.009865046805178662
39,0.010805441380797767
53,0.011925792144208039
56,0.011955845114835498
62,0.01342658135056755
63,0.011989153193385147
70,0.012719925635183111
88,0.014503842065994014
95,0.01384667588984213
114,0.015104012681783532
121,0.015098654794492848
125,0.015839479988248462
132,0.01515022138284436
155,0.014678041032574113
168,0.017061692706391476
172,0.015120485589712311
218,0.020029220228317712
226,0.01755456240628491
240,0.015832854163549036
250,0.020732116502474987
250,0.017008015255107763
280,0.018646302951268446
286,0.01641207082370962
288,0.016669709777267155
293,0.016690450635026426
305,0.016875133931747215
311,0.016811987657338368
315,0.01966251657913669
339,0.016956411156164915
348,0.018197416875780057
356,0.019252841688141002
385,0.02337352854448474
389,0.017790820803575514
404,0.02175917463829502
414,0.018120055815671422
420,0.01946601514943169
422,0.018396564629746825
435,0.01899139335623331
443,0.021032649850718618
445,0.021564373072641654
446,0.01813370292468637
469,0.019929519736363373
479,0.018108281829697287
479,0.018124975995679894
484,0.019769573415595997
504,0.020287660571541515
522,0.01809181141362111
537,0.019124000815658185
544,0.018353571169473674
544,0.019002477612998964
559,0.019606310033144225
578,0.019312205628232895
582,0.021010401412696087
584,0.020930563983144544
587,0.018918213366009847
595,0.019660734904046365
600,0.019353786933932682
601,0.01883142926214152
603,0.020384529808033725
610,0.01923138901138944
636,0.01941654889654349
637,0.01935105336482281
643,0.021718387126889283
646,0.01967159736560093
649,0.018778360698080174
666,0.019559641913973167
711,0.02168121272237311
729,0.01965787965823426
734,0.019253063461225153
760,0.020926224388442268
763,0.020885898055504205
763,0.019994018158108633
784,0.021386662582303005
801,0.021323762990003187
801,0.01945560136177893
808,0.02329484801418905
812,0.020771388953109565
819,0.022509928793733622
820,0.022364041684488415
828,0.02114341895240614
834,0.024248496859375933
835,0.02051131700312482
852,0.01959880939214533
868,0.021531718925568172
885,0.020336478819322476
889,0.02390960891728583
891,0.022492249648126288
903,0.022673260115329066
936,0.020822113612977065
966,0.021728113616268873
966,0.02030927261190282
968,0.01999878652631329
969,0.02002911808107263
973,0.021590127751638936
977,0.020662395062363625
980,0.020177703898387724
981,0.021610601679741482
986,0.022704453555233955
