InputSize,Time
8,8.312797320098387e-06
11,1.1411968272990656e-05
20,2.139206580375524e-05
27,3.016957221948389e-05
27,2.818167535211313e-05
40,4.183690765800252e-05
88,9.308823844239467e-05
95,9.853014176753529e-05
111,0.00013423171173447228
116,0.00012480248044089887
128,0.00014013932286284874
137,0.0001609295123846609
141,0.00015225824649477303
175,0.00019250924335658515
195,0.00021784458857808004
201,0.00022952673834080576
205,0.00023532308126488315
212,0.00024056468454022612
212,0.0002504313054406265
217,0.0002398229571825439
220,0.00024541652818950893
220,0.00023016658957433593
253,0.00026476832537640976
275,0.0002909354861626613
281,0.00032568398930665093
296,0.0003344934472564262
297,0.00031021790529330126
319,0.0003696307621881738
324,0.00033990894264837124
328,0.0003748115044818908
340,0.00035786060471984483
353,0.00037121263827962506
359,0.00037737503106154683
379,0.0004128957261870153
380,0.0004325192621021217
385,0.00042610034086913403
390,0.0004618940234097395
404,0.0004666475027282464
408,0.0005075388878791891
409,0.00043930347645812056
421,0.0004578500184563661
423,0.00044603963447778587
440,0.0004634414328851096
460,0.000543770356578863
467,0.0005105796156630462
469,0.00048494758003803166
479,0.0005751089766958407
484,0.0005590869194048488
503,0.0005592009213314913
515,0.0005329853055977187
519,0.0005996985943908293
531,0.0005736684449274192
531,0.0006057912298928928
542,0.0005844915969654105
542,0.0006577244407697439
547,0.0006356510083699717
554,0.0006409883790977561
557,0.0005922551639116577
561,0.00066187343718672
590,0.0007376883584016194
601,0.0006473087896709786
603,0.0007147621997268935
621,0.0007869830994460572
632,0.0007078537026723403
641,0.000673168593754478
646,0.0007897029278728779
648,0.0007088722653958853
648,0.0007346092724666905
675,0.0008431050501863426
681,0.0007783432700290466
699,0.0008077700069952206
701,0.000809739750570166
710,0.0007417135470019322
713,0.0008025945279784956
715,0.0007784575162640156
730,0.0008568224386444748
737,0.0008063733485392603
757,0.0008130713235142886
781,0.0008616685930519794
782,0.0008580198173015124
788,0.0009634731038875328
788,0.0008824655560582188
793,0.0009293264734854321
838,0.0009016541306386432
849,0.0009395018898122797
851,0.0010019815664830505
877,0.001060176365997022
880,0.0010304111333703906
907,0.0009845088511086205
910,0.0009909236215871616
937,0.0009983869701352547
942,0.0010229970469779251
942,0.001113302438445328
950,0.001043956918326801
950,0.001049868337627016
953,0.0010379553422722567
954,0.0010087071506692253
959,0.0013258468623654515
965,0.001109266953832085
968,0.0011345918201750857
